Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Urinary tract infection,"A urinary tract infection (UTI) is a bacterial infection that affects any part of the urinary system, including the kidneys, ureters, bladder, and urethra. Most UTIs are caused by Escherichia coli (E. coli), a bacteria commonly found in the gastrointestinal tract, which can enter the urinary tract through the urethra and multiply in the bladder. UTIs are more common in women due to their shorter urethra, which allows bacteria to reach the bladder more easily. Symptoms of a UTI include a strong, persistent urge to urinate, burning sensation during urination, cloudy or strong-smelling urine, pelvic pain, lower abdominal discomfort, blood in the urine (hematuria), and, in more severe cases, fever and chills. If the infection spreads to the kidneys (pyelonephritis), symptoms may include back pain, nausea, vomiting, and high fever. Risk factors for UTIs include poor hygiene, sexual activity, urinary retention, dehydration, menopause, pregnancy, diabetes, and the use of catheters. Diagnosis is confirmed through urinalysis, urine culture, and, in recurrent cases, imaging tests such as ultrasound or CT scans. Treatment typically involves antibiotics such as nitrofurantoin, trimethoprim-sulfamethoxazole, or ciprofloxacin, along with increased fluid intake to help flush out bacteria. Preventive measures include maintaining good personal hygiene, wiping from front to back after using the toilet, urinating after intercourse, drinking plenty of water, and avoiding excessive use of irritating feminine hygiene products. Recurrent UTIs may require further medical evaluation to rule out underlying conditions such as kidney stones or structural abnormalities in the urinary tract.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,"Varicose veins are enlarged, twisted, and swollen veins that appear as bulging, blue or purple blood vessels visible through the skin, most commonly occurring on the legs and feet. These veins develop when the valves in the veins become weak or damaged, allowing blood to pool and causing the veins to stretch and twist. Common symptoms of varicose veins include aching pain, heaviness, burning, swelling, throbbing, muscle cramps, and itching around the affected veins. Symptoms may worsen after standing or sitting for long periods. In severe cases, varicose veins can lead to complications such as skin ulcers, blood clots (deep vein thrombosis), or bleeding from ruptured veins. Risk factors include aging, prolonged standing or sitting, obesity, pregnancy, a family history of varicose veins, and hormonal changes. Diagnosis is typically based on a physical examination and may be confirmed through ultrasound to assess blood flow. Treatment options include lifestyle modifications such as regular exercise, wearing compression stockings, elevating the legs, and avoiding prolonged standing. Medical treatments include sclerotherapy (injection therapy), laser therapy, radiofrequency ablation, or surgical procedures such as vein stripping and ligation for severe cases. Preventive measures include maintaining a healthy weight, avoiding high heels, staying physically active, and not crossing legs while sitting for extended periods.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,"Acquired Immunodeficiency Syndrome (AIDS) is a life-threatening condition caused by the human immunodeficiency virus (HIV), which attacks and weakens the immune system by destroying CD4+ T cells. As a result, the body becomes more vulnerable to infections, diseases, and certain cancers. HIV is primarily transmitted through unprotected sexual contact, sharing contaminated needles, transfusion of infected blood, or from mother to child during childbirth or breastfeeding. The early stages of HIV infection may present flu-like symptoms, including fever, sore throat, swollen lymph nodes, muscle aches, fatigue, and rash. As the disease progresses, symptoms may include persistent fever, night sweats, chronic diarrhea, rapid weight loss, oral thrush, and frequent infections. AIDS is diagnosed when the immune system is severely compromised, and the individual develops opportunistic infections such as tuberculosis, pneumonia, or Kaposi’s sarcoma. Diagnosis of HIV is confirmed through blood tests such as the ELISA test, Western blot, or rapid HIV test. There is no cure for HIV/AIDS, but antiretroviral therapy (ART) can help suppress the virus, improve immune function, and prevent progression to AIDS. Preventive measures include practicing safe sex, avoiding shared needles, regular HIV testing, and taking pre-exposure prophylaxis (PrEP) medication for high-risk individuals.",avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),"Paralysis due to a brain hemorrhage, also known as intracerebral hemorrhage (ICH), occurs when a blood vessel in the brain bursts, causing blood to leak into brain tissue and damaging brain cells. This condition can be life-threatening and requires immediate medical attention. Common causes of brain hemorrhage include high blood pressure (hypertension), head trauma, aneurysms, blood clotting disorders, brain tumors, and the use of anticoagulant medications. Symptoms of brain hemorrhage often appear suddenly and may include severe headache, weakness or numbness (especially on one side of the body), difficulty speaking or understanding speech, vision problems, dizziness, loss of coordination, confusion, nausea, vomiting, and loss of consciousness. In severe cases, the hemorrhage can lead to complete paralysis, coma, or death. Diagnosis is made through imaging tests such as CT scans, MRI, or cerebral angiography. Treatment focuses on stabilizing the patient, controlling bleeding, reducing brain swelling, and preventing further complications. In some cases, surgery may be necessary to remove the blood clot or repair damaged blood vessels. Rehabilitation, including physical therapy, speech therapy, and occupational therapy, is essential for recovery and improving mobility and function. Preventive measures include managing high blood pressure, avoiding excessive alcohol consumption, quitting smoking, and monitoring anticoagulant medication use.",massage,eat healthy,exercise,consult doctor
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella Typhi, transmitted through contaminated food or water. It is common in areas with poor sanitation and can lead to serious complications if left untreated. The bacteria enter the digestive tract and spread through the bloodstream, affecting multiple organs. Symptoms of typhoid fever develop gradually, beginning with prolonged high fever, headache, fatigue, abdominal pain, constipation or diarrhea, loss of appetite, chills, muscle aches, weakness, and a distinctive rose-colored rash on the chest and abdomen. As the infection progresses, it can lead to complications such as intestinal perforation, internal bleeding, meningitis, and septicemia. Diagnosis is confirmed through blood, stool, or urine cultures, along with the Widal test. Treatment involves antibiotics such as azithromycin, ciprofloxacin, or ceftriaxone to eliminate the bacteria. Supportive care includes hydration, bed rest, and a soft, easily digestible diet. Preventive measures include maintaining proper hygiene, drinking clean water, avoiding raw or unwashed foods, and receiving the typhoid vaccine before traveling to high-risk areas. In severe cases, hospitalization may be required to manage complications.",eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus (HBV). It can be acute or chronic, with long-term complications such as liver scarring (cirrhosis), liver failure, and liver cancer. Hepatitis B spreads through contact with infected blood, semen, vaginal fluids, or other bodily fluids. It can be transmitted through unprotected sexual contact, sharing needles, mother-to-child transmission during childbirth, or needlestick injuries in healthcare settings. Symptoms may not appear immediately, but when they do, they include fatigue, jaundice (yellowing of the skin and eyes), dark urine, nausea, vomiting, abdominal pain, loss of appetite, joint pain, and fever. Chronic hepatitis B can remain silent for years before leading to severe liver damage. Diagnosis is made through blood tests that detect HBV antigens, antibodies, and liver function abnormalities. There is no specific cure for hepatitis B, but antiviral medications can help slow the progression of the disease. In severe cases, a liver transplant may be required. The best prevention method is vaccination, which provides long-term immunity. Other preventive measures include practicing safe sex, avoiding shared needles, screening blood donations, and using protective barriers when dealing with infected individuals.",consult nearest hospital,vaccination,eat healthy,medication
Fungal infection,"Fungal infections occur when fungi overgrow in or on the body, leading to irritation, inflammation, and discomfort. Fungi are present in the environment, including soil, water, air, and even inside the human body. Some fungal infections are superficial, affecting the skin, nails, or hair, while others are systemic, impacting internal organs. Common fungal infections include athlete’s foot (tinea pedis), ringworm (tinea corporis), yeast infections (candidiasis), fungal nail infections (onychomycosis), and lung infections such as histoplasmosis. Symptoms vary depending on the type and location of the infection but can include redness, itching, burning, flaking, peeling skin, discolored or thickened nails, and white patches in the mouth or throat. Invasive fungal infections, such as cryptococcosis or aspergillosis, can cause fever, cough, shortness of breath, fatigue, and organ failure. Risk factors include a weakened immune system, diabetes, excessive antibiotic use, poor hygiene, warm and humid environments, and prolonged use of damp clothing or shoes. Diagnosis is made through skin scrapings, cultures, or blood tests. Treatment depends on the infection and includes antifungal creams, oral medications, or intravenous antifungal therapy for severe cases. Preventive measures include maintaining proper hygiene, keeping skin dry, avoiding walking barefoot in public areas, wearing breathable clothing, and strengthening the immune system through a healthy diet and lifestyle",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation and, in some cases, serious liver damage. It is caused by the hepatitis C virus (HCV) and is primarily spread through blood-to-blood contact, including sharing contaminated needles, receiving infected blood transfusions (before screening became widespread), and needle-stick injuries in healthcare settings. Less common transmission routes include sexual contact and mother-to-child transmission. Hepatitis C often does not show symptoms in its early stages, leading to chronic infection that can silently damage the liver over decades. When symptoms do appear, they include fatigue, jaundice, dark urine, clay-colored stools, abdominal pain, nausea, loss of appetite, and joint pain. Chronic hepatitis C can lead to complications such as cirrhosis, liver failure, and hepatocellular carcinoma (liver cancer). Diagnosis is made through blood tests that detect HCV antibodies and viral RNA. Unlike hepatitis B, there is no vaccine for hepatitis C, but antiviral medications, including direct-acting antivirals (DAAs), can effectively cure most cases. Preventive measures include avoiding shared needles, using barrier protection during sex, practicing safe medical procedures, and screening blood donations. Regular monitoring of liver function and avoiding alcohol consumption are essential for managing the disease.",Consult nearest hospital,vaccination,eat healthy,medication
Migraine,"A migraine is a neurological condition characterized by recurrent episodes of severe headache, often accompanied by nausea, vomiting, and sensitivity to light and sound. Migraines are typically unilateral (affecting one side of the head), with a throbbing or pulsating pain that can last from a few hours to several days. Migraines can be triggered by various factors, including stress, hormonal changes, sleep disturbances, dehydration, certain foods (such as caffeine, alcohol, and processed foods), weather changes, and sensory stimuli like bright lights or strong smells. There are different types of migraines, including migraines with aura (visual or sensory disturbances before the headache), migraines without aura, chronic migraines (occurring more than 15 days per month), and vestibular migraines (causing dizziness and balance issues). Symptoms of migraines can include intense headache pain, nausea, vomiting, dizziness, visual disturbances (flashing lights, blind spots), tingling sensations, and difficulty concentrating. Diagnosis is typically based on medical history and symptom patterns, as there is no definitive test for migraines. Treatment includes pain relief medications such as NSAIDs, triptans, and anti-nausea drugs. Preventive treatments, including beta-blockers, antidepressants, and anti-seizure medications, may be prescribed for chronic migraines. Lifestyle changes such as maintaining a consistent sleep schedule, staying hydrated, managing stress, avoiding known triggers, and practicing relaxation techniques can help reduce the frequency and severity of migraine attacks.",meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,"Bronchial asthma is a chronic inflammatory disease of the airways that results in episodes of wheezing, breathlessness, chest tightness, and coughing, particularly at night or early in the morning. The condition is caused by hypersensitivity of the bronchial tubes to various triggers, leading to airway constriction and excess mucus production. Common triggers include allergens such as dust mites, pollen, pet dander, mold, cold air, respiratory infections, smoke, pollution, strong odors, stress, and certain medications like aspirin or NSAIDs. Asthma symptoms vary from mild to severe and can be intermittent or persistent. During an asthma attack, the airway muscles tighten, inflammation increases, and mucus clogs the air passages, making breathing difficult. In severe cases, an asthma attack can be life-threatening if not treated promptly. Diagnosis is made through lung function tests, such as spirometry and peak flow measurement, and sometimes allergy tests to identify triggers. Treatment includes inhalers (bronchodilators such as albuterol for quick relief and corticosteroids for long-term control), leukotriene modifiers, and lifestyle modifications to avoid triggers. Inhaled corticosteroids are the most effective long-term control medication, while rescue inhalers provide immediate relief during an attack. Preventive measures include maintaining a clean environment, avoiding known triggers, managing stress, and following a prescribed asthma management plan. Severe cases may require hospitalization and oxygen therapy.",switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,"Alcoholic hepatitis is a serious and potentially fatal condition caused by excessive alcohol consumption over time, leading to inflammation and damage to the liver. The condition is more common in people who engage in heavy drinking or binge drinking. The liver, which processes and filters toxins, becomes overwhelmed by alcohol, resulting in swelling, fat accumulation, and liver cell death. Symptoms of alcoholic hepatitis include jaundice (yellowing of the skin and eyes), loss of appetite, nausea, vomiting, abdominal pain (especially in the upper right side), fever, weakness, weight loss, and confusion (due to toxins building up in the blood). In severe cases, complications such as liver failure, ascites (fluid buildup in the abdomen), bleeding disorders, and encephalopathy (brain dysfunction caused by liver disease) can occur. Diagnosis is made through liver function tests, imaging studies, and liver biopsy in some cases. The primary treatment for alcoholic hepatitis is complete cessation of alcohol consumption, as continued drinking can lead to cirrhosis and liver failure. Supportive care includes nutritional therapy, vitamin supplementation (especially thiamine and folic acid), corticosteroids or pentoxifylline to reduce inflammation, and in severe cases, liver transplantation. Prevention involves limiting alcohol intake, maintaining a healthy diet, staying hydrated, and seeking medical help for alcohol dependency. Early intervention is crucial to prevent progression to irreversible liver disease.",stop alcohol consumption,consult doctor,medication,follow up
Jaundice,"Jaundice is a condition characterized by yellowing of the skin, eyes, and mucous membranes due to high levels of bilirubin in the blood. Bilirubin is a yellow pigment produced when red blood cells break down. Normally, the liver processes bilirubin and excretes it in bile, but when liver function is impaired or bile flow is obstructed, bilirubin accumulates in the body, leading to jaundice. Causes of jaundice include liver diseases such as hepatitis, cirrhosis, alcoholic liver disease, and liver cancer, as well as conditions like hemolytic anemia (excessive breakdown of red blood cells), bile duct obstruction (due to gallstones or tumors), and genetic disorders such as Gilbert’s syndrome. Symptoms of jaundice include yellowing of the skin and eyes, dark urine, pale stools, fatigue, abdominal pain, nausea, vomiting, itching, and weight loss. Diagnosis involves blood tests to measure bilirubin levels, liver function tests, ultrasound, CT scans, and liver biopsy in some cases. Treatment depends on the underlying cause: viral hepatitis may require antiviral medications, bile duct obstruction may need surgical intervention, and liver failure may necessitate a transplant. In newborns, jaundice is common due to immature liver function and usually resolves on its own or with phototherapy. Prevention includes maintaining liver health by avoiding excessive alcohol, getting vaccinated for hepatitis, managing cholesterol levels, and staying hydrated.",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus (HEV), which is primarily transmitted through contaminated water, undercooked pork, or shellfish. It is more common in regions with poor sanitation and contaminated drinking water. Unlike hepatitis B and C, hepatitis E does not usually cause chronic liver disease, but it can be severe in pregnant women, leading to fulminant hepatitis or liver failure. Symptoms of hepatitis E include jaundice, dark urine, pale stools, fatigue, nausea, vomiting, abdominal pain, fever, loss of appetite, and joint pain. In most cases, the infection resolves on its own within a few weeks, but in immunocompromised individuals, such as those with organ transplants or HIV, chronic hepatitis E can occur. Diagnosis is made through blood tests that detect HEV antibodies or RNA. There is no specific antiviral treatment for hepatitis E; supportive care such as rest, hydration, and avoiding alcohol is recommended. Preventive measures include drinking clean water, avoiding raw or undercooked meat, practicing good hygiene, and improving sanitation. In some countries, a hepatitis E vaccine is available, but it is not widely used globally.",stop alcohol consumption,rest,consult doctor,medication
Dengue,"Dengue fever is a mosquito-borne viral infection caused by the Dengue virus, which belongs to the Flavivirus genus. It is transmitted primarily by Aedes aegypti and Aedes albopictus mosquitoes. Dengue is prevalent in tropical and subtropical regions and is commonly found in urban and semi-urban areas. The infection can range from mild flu-like symptoms to severe complications such as dengue hemorrhagic fever (DHF) or dengue shock syndrome (DSS), which can be life-threatening. Symptoms of dengue fever include high fever, severe headaches, pain behind the eyes, muscle and joint pain (hence the nickname ""breakbone fever""), skin rash, nausea, vomiting, swollen glands, and fatigue. In severe cases, symptoms can escalate to internal bleeding, difficulty breathing, persistent vomiting, severe abdominal pain, and organ failure. Dengue is diagnosed through blood tests that detect the presence of the virus or antibodies. There is no specific antiviral treatment for dengue; management includes supportive care such as hydration, pain relief with acetaminophen (not aspirin or NSAIDs, as they can worsen bleeding risks), and close monitoring for complications. Prevention focuses on mosquito control, including eliminating breeding grounds, using insect repellents, wearing protective clothing, and implementing large-scale mosquito control programs. A dengue vaccine is available in some regions but is recommended only for those who have had previous dengue infections. Early detection and proper medical care can significantly reduce fatality rates associated with severe dengue.",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,"Hepatitis D, also known as hepatitis delta, is a liver infection caused by the hepatitis D virus (HDV). It is unique because it only occurs in individuals who are already infected with hepatitis B, as HDV requires the hepatitis B surface antigen to replicate. This co-infection can lead to a more severe form of liver disease, increasing the risk of cirrhosis, liver failure, and liver cancer. Hepatitis D is transmitted through blood and other bodily fluids, commonly through sharing needles, unprotected sexual contact, or from mother to child during childbirth. Symptoms of hepatitis D are similar to other hepatitis infections and may include jaundice (yellowing of the skin and eyes), fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, and pale stools. Chronic hepatitis D can cause progressive liver damage, leading to complications such as portal hypertension, ascites, and hepatic encephalopathy. Diagnosis is confirmed through blood tests that detect HDV antibodies or viral RNA. There is no specific cure for hepatitis D, but treatment options include antiviral therapy such as pegylated interferon-alpha, which may help control the virus in some patients. Preventing hepatitis D relies on preventing hepatitis B infection through vaccination, avoiding sharing needles, practicing safe sex, and taking precautions in healthcare settings. For individuals already infected with hepatitis B, regular monitoring of liver function and early intervention can help manage complications.",consult doctor,medication,eat healthy,follow up
Heart attack,"A heart attack, also known as a myocardial infarction (MI), occurs when blood flow to a part of the heart muscle is blocked, usually due to a buildup of fatty deposits (plaques) in the coronary arteries. This blockage deprives the heart muscle of oxygen, causing tissue damage or death. Heart attacks are a medical emergency and require immediate treatment to restore blood flow and prevent further complications. Symptoms of a heart attack can vary but commonly include chest pain or discomfort (often described as pressure, squeezing, or fullness), pain radiating to the arms, jaw, neck, back, or stomach, shortness of breath, nausea, dizziness, cold sweats, and fatigue. Some individuals, particularly women, diabetics, and older adults, may experience atypical or mild symptoms. Diagnosis is confirmed through electrocardiogram (ECG), blood tests measuring cardiac enzymes (such as troponin), and imaging tests such as coronary angiography. Immediate treatment includes medications such as aspirin, nitroglycerin, thrombolytics (clot busters), and emergency procedures like angioplasty with stent placement or coronary artery bypass grafting (CABG). Long-term management involves lifestyle changes, including a heart-healthy diet, regular exercise, smoking cessation, stress management, and medications such as beta-blockers, statins, and anticoagulants to prevent further cardiac events. Recognizing the warning signs of a heart attack and seeking medical help promptly can significantly improve survival and recovery outcomes.",call ambulance,chew or swallow asprin,keep calm,
Pneumonia,"Pneumonia is a serious infection that causes inflammation in one or both lungs due to bacterial, viral, or fungal infections. The infection leads to fluid or pus accumulation in the alveoli, the tiny air sacs in the lungs responsible for oxygen exchange. Pneumonia can range from mild to life-threatening, with elderly individuals, young children, and those with weakened immune systems at higher risk. Symptoms include persistent cough (often producing phlegm), fever, chills, difficulty breathing, chest pain when breathing or coughing, fatigue, nausea, vomiting, and loss of appetite. Bacterial pneumonia is commonly caused by Streptococcus pneumoniae, while viral pneumonia is often due to influenza, respiratory syncytial virus (RSV), or SARS-CoV-2. Fungal pneumonia is less common but can affect individuals with weakened immunity. Pneumonia is diagnosed through physical examination, chest X-rays, blood tests, and sputum analysis. Treatment depends on the cause; bacterial pneumonia is treated with antibiotics, viral pneumonia may require antiviral medications, and fungal pneumonia is treated with antifungal drugs. Supportive care includes rest, hydration, oxygen therapy in severe cases, and over-the-counter medications for symptom relief. Prevention involves vaccination (such as pneumococcal and flu vaccines), good hygiene practices, and avoiding smoking or pollutants that can harm lung health. Early detection and treatment improve recovery and prevent complications such as respiratory failure or sepsis",consult doctor,medication,rest,follow up
Arthritis,"Arthritis refers to inflammation of the joints, leading to pain, stiffness, swelling, and reduced mobility. It is a broad term encompassing over 100 different types, with osteoarthritis (OA) and rheumatoid arthritis (RA) being the most common. Osteoarthritis occurs due to the gradual wear and tear of cartilage, leading to bone friction and joint damage, typically affecting the knees, hips, hands, and spine. Rheumatoid arthritis is an autoimmune disorder where the immune system mistakenly attacks joint tissues, causing inflammation, pain, and potential joint deformity. Other types include psoriatic arthritis, gout (caused by uric acid buildup in joints), and ankylosing spondylitis. Symptoms of arthritis include joint pain, swelling, stiffness (especially in the morning or after inactivity), redness, warmth around the affected joints, and difficulty performing daily tasks. Arthritis is diagnosed through physical examinations, imaging tests (X-rays, MRI, CT scans), and blood tests to detect inflammation markers. Treatment focuses on pain management and slowing disease progression, including medications such as NSAIDs, corticosteroids, disease-modifying antirheumatic drugs (DMARDs) for RA, and lifestyle modifications like weight management, physical therapy, regular exercise, and joint-friendly activities like swimming and yoga. Severe cases may require joint injections or surgical interventions like joint replacement. Preventive measures include maintaining a healthy weight, staying active, avoiding joint injuries, and managing underlying conditions contributing to arthritis.",exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,"Gastroenteritis, often called the ""stomach flu,"" is an inflammation of the digestive tract, primarily affecting the stomach and intestines. It is commonly caused by viral infections such as norovirus or rotavirus, but bacterial and parasitic infections can also be responsible. The condition spreads through contaminated food, water, or close contact with an infected person. Symptoms of gastroenteritis include watery diarrhea, nausea, vomiting, stomach cramps, bloating, fever, muscle aches, dehydration, and fatigue. In severe cases, it can lead to complications like electrolyte imbalance and severe dehydration, particularly in young children, the elderly, and immunocompromised individuals. Diagnosis is based on symptoms and, in some cases, stool tests to identify the infectious agent. Treatment primarily involves supportive care, including hydration with oral rehydration solutions (ORS), electrolyte replacement, rest, and dietary modifications such as consuming bland foods and avoiding dairy or spicy foods. Antibiotics are prescribed only if bacterial infections like Salmonella or E. coli are confirmed. Prevention involves good hygiene practices, proper food handling, vaccination against rotavirus, and avoiding contaminated water sources. In most cases, gastroenteritis resolves within a few days, but early medical attention is crucial for severe symptoms.",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,"Tuberculosis (TB) is an infectious disease caused by Mycobacterium tuberculosis, primarily affecting the lungs but potentially impacting other organs, such as the brain, kidneys, and bones. TB spreads through airborne droplets when an infected person coughs or sneezes, making it highly contagious. The disease can exist in two forms: latent TB, where the bacteria remain dormant without causing symptoms, and active TB, which presents with persistent symptoms. Common symptoms of active TB include a chronic cough lasting more than three weeks, coughing up blood (hemoptysis), chest pain, fever, night sweats, unexplained weight loss, fatigue, and loss of appetite. Diagnosis involves tuberculin skin tests (Mantoux test), blood tests, chest X-rays, and sputum cultures to detect the bacteria. TB is treatable with a long-term antibiotic regimen, usually involving a combination of drugs such as isoniazid, rifampin, ethambutol, and pyrazinamide for at least six months. Drug-resistant TB strains require specialized treatment with second-line antibiotics. Preventive measures include the BCG vaccine (Bacillus Calmette-Guérin), early detection, and treatment of latent TB to prevent its progression. Proper ventilation, wearing masks in high-risk settings, and completing prescribed medication courses are crucial in controlling TB spread. Without treatment, tuberculosis can cause severe complications, including lung damage and multi-organ failure, making early diagnosis and adherence to treatment essential.",cover mouth,consult doctor,medication,rest
